"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 16 19:36:06 AST 2023","Mon Oct 16 19:36:11 AST 2023","4994","","tests.enter.account.EnterAccountWithLichniiKabinetButtonTest","","tests.enter.account.EnterAccountWithLichniiKabinetButtonTest","enterPersonalAccountWithProfileButtonTest","Вход через кнопку «Личный кабинет»",""
"passed","Mon Oct 16 19:36:20 AST 2023","Mon Oct 16 19:36:26 AST 2023","5383","","tests.profile.EnterProfileWithHeaderProfileButtonTest","","tests.profile.EnterProfileWithHeaderProfileButtonTest","enterProfileFromHeaderTest","Переход по клику на «Личный кабинет»",""
"passed","Mon Oct 16 19:35:46 AST 2023","Mon Oct 16 19:35:50 AST 2023","4031","","tests.constructor.FillersLinkTest","","tests.constructor.FillersLinkTest","switchToFillersTest","Проверка работы перехода к разделу Начинка в Конструкторе",""
"passed","Mon Oct 16 19:35:39 AST 2023","Mon Oct 16 19:35:46 AST 2023","7431","","tests.constructor.BunLinkTest","","tests.constructor.BunLinkTest","switchToBunTest","Проверка работы перехода к разделу Булка в конструкторе",""
"passed","Mon Oct 16 19:36:15 AST 2023","Mon Oct 16 19:36:20 AST 2023","4873","","tests.profile.ConstructorLinkFromProfileTest","","tests.profile.ConstructorLinkFromProfileTest","enterConstructorFromProfileTest","Переход из личного кабинета в конструктор",""
"passed","Mon Oct 16 19:35:56 AST 2023","Mon Oct 16 19:36:06 AST 2023","9775","","tests.enter.account.EnterAccountWithEnterButtonInRegFormTest","","tests.enter.account.EnterAccountWithEnterButtonInRegFormTest","enterPersonalAccountFromRegFormTest","Вход в аккаунт через кнопку Войти в форме регистрации",""
"passed","Mon Oct 16 19:36:36 AST 2023","Mon Oct 16 19:36:40 AST 2023","3710","","tests.registration.AuthorizationWrongPasswordTest","","tests.registration.AuthorizationWrongPasswordTest","authorizationWithWrongPasswordFails","Авторизация с неправильным паролем",""
"passed","Mon Oct 16 19:35:50 AST 2023","Mon Oct 16 19:35:56 AST 2023","5725","","tests.constructor.SoucesLinkTest","","tests.constructor.SoucesLinkTest","switchToSoucesTest","Проверка работы перехода к разделу Соусы в Конструкторе",""
"passed","Mon Oct 16 19:36:26 AST 2023","Mon Oct 16 19:36:31 AST 2023","5260","","tests.profile.LogoFromProfileClickTest","","tests.profile.LogoFromProfileClickTest","clickLogoFromProfileTest","Переход по клику на логотип Stellar Burgers",""
"passed","Mon Oct 16 19:36:11 AST 2023","Mon Oct 16 19:36:15 AST 2023","4272","","tests.enter.account.EnterPersonalAccountTest","","tests.enter.account.EnterPersonalAccountTest","enterPersonalAccountTest","Вход по кнопке «Войти в аккаунт» на главной",""
"passed","Mon Oct 16 19:36:31 AST 2023","Mon Oct 16 19:36:36 AST 2023","5297","","tests.profile.LogOutTest","","tests.profile.LogOutTest","logOutFromProfileTest","Выход из аккаунта по кнопке «Выйти» в личном кабинете",""
"passed","Mon Oct 16 19:36:40 AST 2023","Mon Oct 16 19:36:44 AST 2023","3696","","tests.registration.RegistrationFlowTest","","tests.registration.RegistrationFlowTest","registrationFlowOpensAuthorizationPageTest","Регистрация нового пользователя",""
